tgl;no;nobatch;kode;nopallet;qty
2023-01-31 08:00:00;1;226121201;A.007.02;J02-C1-42;322
2023-01-31 08:00:00;2;223020701;B.011.01;J02-H0-37;1945
2023-01-31 08:00:00;3;25910719;D.007.01;J02-D3-39;14800
2023-01-31 08:00:00;4;214020908;D.008.01;J02-D3-40;9100
2023-01-31 08:00:00;5;127910246;D.010.01;J02-D3-41;1900
2023-01-31 08:00:00;6;149910805;B.010.01;J02-H0-34;116
2023-01-31 08:00:00;7;149910806;B.010.01;J02-H0-34;144
2023-01-31 08:00:00;8;149910807;B.010.01;J02-H0-34;144
2023-01-31 08:00:00;9;149910808;B.010.01;J02-H0-34;144
2023-01-31 08:00:00;10;149910809;B.010.01;J02-H0-34;144
2023-01-31 08:00:00;11;149121001;B.010.01;J02-H0-34;255
2023-01-31 08:00:00;12;149121002;B.010.01;J02-H0-34;1903
2023-01-31 08:00:00;13;153220201;D.005.01;J02-F0-35;1091
2023-01-31 08:00:00;14;153220201;D.005.01;J02-F0-38;10800
2023-01-31 08:00:00;15;153220201;D.005.01;J02-F0-39;14400
2023-01-31 08:00:00;16;153220201;D.005.01;J02-F0-40;14400
2023-01-31 08:00:00;17;153220201;D.005.01;J02-F0-41;12140
2023-01-31 08:00:00;18;153220202;D.005.01;J02-F0-41;2260
2023-01-31 08:00:00;19;153220202;D.005.01;J02-F0-42;14400
2023-01-31 08:00:00;20;149910707;B.010.01;J02-H0-33;144
2023-01-31 08:00:00;21;149910805;B.010.01;J02-H0-33;652
2023-01-31 08:00:00;22;149910806;B.010.01;J02-H0-33;1220
2023-01-31 08:00:00;23;149910807;B.010.01;J02-H0-33;288
2023-01-31 08:00:00;24;149910808;B.010.01;J02-H0-33;288
2023-01-31 08:00:00;25;149910809;B.010.01;J02-H0-33;288
2023-01-31 08:00:00;26;149910804;B.010.01;J02-H0-35;1301
2023-01-31 08:00:00;27;149910805;B.010.01;J02-H0-35;715
2023-01-31 08:00:00;28;149910805;B.010.01;J02-H0-36;144
2023-01-31 08:00:00;29;149910806;B.010.01;J02-H0-36;144
2023-01-31 08:00:00;30;149910807;B.010.01;J02-H0-36;1494
2023-01-31 08:00:00;31;149910808;B.010.01;J02-H0-36;1530
2023-01-31 08:00:00;32;149910809;B.010.01;J02-H0-36;1008
2023-01-31 08:00:00;33;149811006;B.010.02;J02-H2-33;769
2023-01-31 08:00:00;34;149910706;B.010.02;J02-H2-34;1368
2023-01-31 08:00:00;35;149910706;B.010.02;J02-H2-35;1464
2023-01-31 08:00:00;36;149910706;B.010.02;J02-H2-36;58
2023-01-31 08:00:00;37;149910708;B.010.02;J02-H2-36;1382
2023-01-31 08:00:00;38;149910708;B.010.02;J02-H2-37;1440
2023-01-31 08:00:00;39;149910708;B.010.02;J02-H2-38;36
2023-01-31 08:00:00;40;149910812;B.010.02;J02-H2-38;612
2023-01-31 08:00:00;41;149911001;B.010.02;J02-H2-39;1440
2023-01-31 08:00:00;42;149910812;B.010.02;J02-H2-40;21
2023-01-31 08:00:00;43;149911001;B.010.02;J02-H2-40;1419
2023-01-31 08:00:00;44;149911001;B.010.02;J02-H2-41;9
2023-01-31 08:00:00;45;149911002;B.010.02;J02-H2-41;1431
2023-01-31 08:00:00;46;149911002;B.010.02;J02-H2-42;1440
2023-01-31 08:00:00;47;149911002;B.010.02;J02-H2-43;7
2023-01-31 08:00:00;48;149911003;B.010.02;J02-H2-43;65
2023-01-31 08:00:00;49;149020302;B.010.02;J02-H2-43;1368
2023-01-31 08:00:00;50;149020302;B.010.02;J02-H2-44;1112
2023-01-31 08:00:00;51;30020801;B.004.01;J02-H1-39;143
2023-01-31 08:00:00;52;30220301;B.004.01;J02-H1-39;2391
2023-01-31 08:00:00;53;231220201;B.002.01;J02-H1-38;655
2023-01-31 08:00:00;54;232220201;B.001.01;J02-H1-37;3
2023-01-31 08:00:00;55;232220801;B.001.01;J02-H1-37;1397
2023-01-31 08:00:00;56;183220701;B.008.01;J02-H1-33;67
2023-01-31 08:00:00;57;104120602;B.007.03;J02-H1-34;480
2023-01-31 08:00:00;58;104021102;B.007.03;J02-H1-34;228
2023-01-31 08:00:00;59;98220701;B.007.02;J02-H1-35;12
2023-01-31 08:00:00;60;193911201;B.007.01;J02-H1-36;348
2023-01-31 08:00:00;61;193120603;B.007.01;J02-H1-36;288
2023-01-31 08:00:00;62;153220401;D.005.01;J02-F1-31;12400
2023-01-31 08:00:00;63;153220601;D.005.01;J02-F1-31;2000
2023-01-31 08:00:00;64;153220401;D.005.01;J02-F1-32;14400
2023-01-31 08:00:00;65;153220401;D.005.01;J02-F1-33;14400
2023-01-31 08:00:00;66;153220401;D.005.01;J02-F1-34;14400
2023-01-31 08:00:00;67;153220202;D.005.01;J02-F1-35;3320
2023-01-31 08:00:00;68;153220401;D.005.01;J02-F1-35;11080
2023-01-31 08:00:00;69;153220202;D.005.01;J02-F1-36;14400
2023-01-31 08:00:00;70;153220202;D.005.01;J02-F1-37;14400
2023-01-31 08:00:00;71;153220202;D.005.01;J02-F1-38;14400
2023-01-31 08:00:00;72;153220202;D.005.01;J02-F1-39;14400
2023-01-31 08:00:00;73;153220202;D.005.01;J02-F1-40;8400
2023-01-31 08:00:00;74;153220202;D.005.01;J02-F1-41;14400
2023-01-31 08:00:00;75;153220202;D.005.01;J02-F1-42;14400
2023-01-31 08:00:00;76;153220601;D.005.01;J02-F2-31;14400
2023-01-31 08:00:00;77;153220601;D.005.01;J02-F2-32;14400
2023-01-31 08:00:00;78;153220601;D.005.01;J02-F2-33;14400
2023-01-31 08:00:00;79;153220601;D.005.01;J02-F2-34;7200
2023-01-31 08:00:00;80;153220602;D.005.01;J02-F2-34;7200
2023-01-31 08:00:00;81;153220601;D.005.01;J02-F2-35;4660
2023-01-31 08:00:00;82;153220602;D.005.01;J02-F2-35;3740
2023-01-31 08:00:00;83;153220602;D.005.01;J02-F2-36;14400
2023-01-31 08:00:00;84;153220602;D.005.01;J02-F2-38;14400
2023-01-31 08:00:00;85;153220602;D.005.01;J02-F2-37;14400
2023-01-31 08:00:00;86;153220602;D.005.01;J02-F2-39;9500
2023-01-31 08:00:00;87;153220603;D.005.01;J02-F2-39;4900
2023-01-31 08:00:00;88;153220603;D.005.01;J02-F2-40;14400
